user_id,name,age,gender,resident_num,subject,hire_date,profile,ai_type,nationality
1000,John Lee,31,M,715-80-2991,Math Teacher,2010-10-14,"John is a Math Teacher at Highland HS, with 15 years of total experience.","{""fte"": ""Full-time"", ""salary"": 106578, ""certificate"": ""Emergency"", ""subcategory"": ""Elementary"", ""teaching_route"": ""Traditional"", ""highly_qualified"": ""Yes"", ""experience_total"": 15}",USA
1001,Alex Garcia,44,M,303-27-1874,English Teacher,2018-03-12,"Alex is a English Teacher at Highland HS, with 7 years of total experience.","{""fte"": ""Part-time"", ""salary"": 61698, ""certificate"": ""Provisional"", ""subcategory"": ""Secondary"", ""teaching_route"": ""Alternate"", ""highly_qualified"": ""Yes"", ""experience_total"": 7}",Ireland
1002,John Smith,37,M,704-36-6522,English Teacher,2000-04-27,"John is a English Teacher at Highland HS, with 25 years of total experience.","{""fte"": ""Part-time"", ""salary"": 119097, ""certificate"": ""Provisional"", ""subcategory"": ""Elementary"", ""teaching_route"": ""Traditional"", ""highly_qualified"": ""No"", ""experience_total"": 25}",UK
1003,Sarah Kim,52,M,474-26-6863,Math Teacher,1999-10-09,"Sarah is a Math Teacher at Greenwood MS, with 26 years of total experience.","{""fte"": ""Part-time"", ""salary"": 114562, ""certificate"": ""Emergency"", ""subcategory"": ""Secondary"", ""teaching_route"": ""Alternate"", ""highly_qualified"": ""Yes"", ""experience_total"": 26}",South Africa
1004,Emily Smith,31,M,870-28-3097,Math Teacher,2022-06-15,"Emily is a Math Teacher at Highland HS, with 3 years of total experience.","{""fte"": ""Part-time"", ""salary"": 46922, ""certificate"": ""Provisional"", ""subcategory"": ""Elementary"", ""teaching_route"": ""Alternate"", ""highly_qualified"": ""Yes"", ""experience_total"": 3}",Singapore
1005,David Kim,34,F,334-63-1405,English Teacher,2015-05-14,"David is a English Teacher at Greenwood MS, with 10 years of total experience.","{""fte"": ""Full-time"", ""salary"": 69650, ""certificate"": ""Provisional"", ""subcategory"": ""Secondary"", ""teaching_route"": ""Traditional"", ""highly_qualified"": ""No"", ""experience_total"": 10}",USA
1006,Alex Garcia,51,M,723-92-8553,Math Teacher,2007-02-10,"Alex is a Math Teacher at Lakeside School, with 18 years of total experience.","{""fte"": ""Part-time"", ""salary"": 94253, ""certificate"": ""Standard"", ""subcategory"": ""Secondary"", ""teaching_route"": ""Alternate"", ""highly_qualified"": ""No"", ""experience_total"": 18}",Canada
1007,David Kim,45,F,225-82-1012,Math Teacher,2014-01-14,"David is a Math Teacher at Highland HS, with 11 years of total experience.","{""fte"": ""Part-time"", ""salary"": 75422, ""certificate"": ""Emergency"", ""subcategory"": ""Secondary"", ""teaching_route"": ""Alternate"", ""highly_qualified"": ""Yes"", ""experience_total"": 11}",USA
1008,Sarah Garcia,33,F,954-25-9490,Math Teacher,2009-03-11,"Sarah is a Math Teacher at Greenwood MS, with 16 years of total experience.","{""fte"": ""Full-time"", ""salary"": 83331, ""certificate"": ""Provisional"", ""subcategory"": ""Secondary"", ""teaching_route"": ""Alternate"", ""highly_qualified"": ""Yes"", ""experience_total"": 16}",Canada
1009,David Garcia,57,M,921-56-5009,English Teacher,2006-07-19,"David is a English Teacher at Highland HS, with 19 years of total experience.","{""fte"": ""Full-time"", ""salary"": 93061, ""certificate"": ""Provisional"", ""subcategory"": ""Secondary"", ""teaching_route"": ""Traditional"", ""highly_qualified"": ""Yes"", ""experience_total"": 19}",South Africa
1010,John Brown,55,M,261-14-6858,Math Teacher,2018-04-17,"John is a Math Teacher at Greenwood MS, with 7 years of total experience.","{""fte"": ""Part-time"", ""salary"": 96828, ""certificate"": ""Standard"", ""subcategory"": ""Elementary"", ""teaching_route"": ""Alternate"", ""highly_qualified"": ""Yes"", ""experience_total"": 7}",USA
1011,Alex Garcia,55,M,729-57-1263,English Teacher,2004-01-25,"Alex is a English Teacher at Greenwood MS, with 21 years of total experience.","{""fte"": ""Full-time"", ""salary"": 97876, ""certificate"": ""Emergency"", ""subcategory"": ""Elementary"", ""teaching_route"": ""Traditional"", ""highly_qualified"": ""No"", ""experience_total"": 21}",Singapore
1012,Emily Smith,37,F,263-49-1816,Math Teacher,2005-08-21,"Emily is a Math Teacher at Greenwood MS, with 20 years of total experience.","{""fte"": ""Full-time"", ""salary"": 92946, ""certificate"": ""Emergency"", ""subcategory"": ""Elementary"", ""teaching_route"": ""Traditional"", ""highly_qualified"": ""Yes"", ""experience_total"": 20}",Australia
1013,Emily Smith,52,F,760-22-6763,English Teacher,2011-02-05,"Emily is a English Teacher at Greenwood MS, with 14 years of total experience.","{""fte"": ""Part-time"", ""salary"": 60231, ""certificate"": ""Provisional"", ""subcategory"": ""Secondary"", ""teaching_route"": ""Alternate"", ""highly_qualified"": ""No"", ""experience_total"": 14}",Philippines
1014,Alex Kim,57,M,732-12-4161,Science Teacher,2019-09-26,"Alex is a Science Teacher at Greenwood MS, with 6 years of total experience.","{""fte"": ""Part-time"", ""salary"": 116806, ""certificate"": ""Standard"", ""subcategory"": ""Elementary"", ""teaching_route"": ""Alternate"", ""highly_qualified"": ""No"", ""experience_total"": 6}",New Zealand
1015,John Kim,57,F,274-21-2285,Science Teacher,2011-05-14,"John is a Science Teacher at Lakeside School, with 14 years of total experience.","{""fte"": ""Full-time"", ""salary"": 92447, ""certificate"": ""Provisional"", ""subcategory"": ""Secondary"", ""teaching_route"": ""Alternate"", ""highly_qualified"": ""Yes"", ""experience_total"": 14}",Ireland
1016,Alex Garcia,56,M,825-91-9566,Math Teacher,2008-09-03,"Alex is a Math Teacher at Lakeside School, with 17 years of total experience.","{""fte"": ""Full-time"", ""salary"": 53957, ""certificate"": ""Standard"", ""subcategory"": ""Secondary"", ""teaching_route"": ""Alternate"", ""highly_qualified"": ""No"", ""experience_total"": 17}",USA
1017,Emily Smith,40,M,996-96-2097,Science Teacher,1998-02-05,"Emily is a Science Teacher at Lakeside School, with 27 years of total experience.","{""fte"": ""Part-time"", ""salary"": 98606, ""certificate"": ""Standard"", ""subcategory"": ""Secondary"", ""teaching_route"": ""Alternate"", ""highly_qualified"": ""Yes"", ""experience_total"": 27}",Ireland
1018,Sarah Smith,59,M,542-36-5647,English Teacher,2011-11-11,"Sarah is a English Teacher at Highland HS, with 14 years of total experience.","{""fte"": ""Part-time"", ""salary"": 69648, ""certificate"": ""Emergency"", ""subcategory"": ""Secondary"", ""teaching_route"": ""Alternate"", ""highly_qualified"": ""Yes"", ""experience_total"": 14}",Ireland
1019,Emily Kim,57,M,811-94-8912,English Teacher,2018-03-22,"Emily is a English Teacher at Highland HS, with 7 years of total experience.","{""fte"": ""Part-time"", ""salary"": 98900, ""certificate"": ""Emergency"", ""subcategory"": ""Secondary"", ""teaching_route"": ""Alternate"", ""highly_qualified"": ""No"", ""experience_total"": 7}",Australia
1020,John Brown,51,M,322-54-2205,Science Teacher,1995-04-14,"John is a Science Teacher at Lakeside School, with 30 years of total experience.","{""fte"": ""Full-time"", ""salary"": 41023, ""certificate"": ""Standard"", ""subcategory"": ""Secondary"", ""teaching_route"": ""Alternate"", ""highly_qualified"": ""No"", ""experience_total"": 30}",India
1021,David Kim,39,M,501-91-4821,English Teacher,2011-11-28,"David is a English Teacher at Lakeside School, with 14 years of total experience.","{""fte"": ""Part-time"", ""salary"": 58954, ""certificate"": ""Standard"", ""subcategory"": ""Elementary"", ""teaching_route"": ""Alternate"", ""highly_qualified"": ""Yes"", ""experience_total"": 14}",New Zealand
1022,David Lee,34,F,103-36-6376,Science Teacher,2003-01-12,"David is a Science Teacher at Lakeside School, with 22 years of total experience.","{""fte"": ""Part-time"", ""salary"": 55269, ""certificate"": ""Provisional"", ""subcategory"": ""Elementary"", ""teaching_route"": ""Traditional"", ""highly_qualified"": ""Yes"", ""experience_total"": 22}",Ireland
1023,Emily Garcia,47,M,994-55-6838,English Teacher,1998-09-20,"Emily is a English Teacher at Highland HS, with 27 years of total experience.","{""fte"": ""Full-time"", ""salary"": 100462, ""certificate"": ""Provisional"", ""subcategory"": ""Secondary"", ""teaching_route"": ""Traditional"", ""highly_qualified"": ""No"", ""experience_total"": 27}",Canada
